absorpcji atomowej,atomic absorption,
aby być,to be,
aby była,to be,
aby były,to be,
aby chemikalia,chemicals need to,
aby dążyć,to pursue,
aby do,in order to,
aby je,it important to,
aby jeden,certain specific provisions to,
aby jedno,to ensure that one,
aby jego,for implementing that,
aby jej,it is,
aby każda,any information relevant to,
aby każdy,to any,
aby komisja,commission to,
aby mogli,may choose to,
aby mogły,may lead to,
aby nie,to ensure that,
aby niniejsza,this own-initiative opinion to,
aby obejmowały,to cover,
aby parlament,to parliament,
aby po,to in,
aby pomagać,to assist,
aby pomyślnie,to conclude negotiations successfully,
aby popierać,to promote,
aby pracować,to work,
aby program,to as the programme,
aby programy,for programme,
aby promować,to promote,
aby przed,to or from,
aby przedłożyła,to submit,
aby przyczyniać,contribute to,
aby przygotować,prepare for,
aby przyjmowały,to adopt,
aby przyszłe,for future,
aby skarga,complaint to,
aby skierował,to address,
aby strategia,strategy for,
aby stworzyć,to create,
aby takie,to see such,
aby te,it is essential for,
aby ten,to this,
aby to,to achieve this,
aby transport,air transport,
aby ułatwić,to facilitate,
aby warsztaty,workshops to,
aby wsparcie,to support,
aby wspierać,to assist,
aby wspólnota,for the community,
aby wszyscy,to see all,
aby wszystkie,for all,
aby wysoki,high representative for,
aby zachęcać,to encourage,
aby zachęcić,to encourage,
aby zagwarantować,to ensure,
aby zakład,to require that establishment,
aby zintegrować,to successfully integrate,
aby zmiana,to climate change,
aby zostać,to become,
acetylen propan,acetylene propane,
adaptacja będzie,adaptation will,
adaptacja do,for adaptation,
adaptację do,adaptation to,
adaptacji do,adaptation to,
adaptacji musi,adaptation must,
adaptacji powinna,adaptation should,
adaptacyjna będzie,adaptation strategy will,
adaptacyjna powinna,adaptation strategy should,
adaptacyjne muszą,adaptation strategies must,
adaptacyjne niż,adaptation to,
adaptacyjne projektowanie,adaptive design,
adaptacyjnych do,to help mainstream adaptation,
administracja celna,customs training management,
administracje celne,relevant administration,
administrację publiczną,public administration,
administracji publicznej,public administration,
administracyjne dla,administrative instruments developed to,
administracyjne niezbędne,administrative provisions necessary,
administracyjny umożliwiający,management facilitating,
administracyjnych do,administrative methods to,
administracyjnymi wobec,administrative approaches to,
adresem do,address for,
agencja energii,energy agency,
agencja środowiska,environment agency,
agencję środowiska,environment agency,
agencji oceny,agency for the evaluation,
agencji środowiska,environment agency,
akapicie drugim,second subparagraph,
akapicie pierwszym,first subparagraph,
akapit drugi,second paragraph,
akapit pierwszy,first paragraph,
akapit poinformują,subparagraph shall inform,
akapit trzeci,third subparagraph,
akapitem pierwszym,first subparagraph,
akapitu drugiego,second paragraph,
akapitu pierwszego,first subparagraph,
akceptacji dla,acceptance for,
akt podstawowy,basic act,
aktem przystąpienia,act of accession,
aktu końcowego,final act,
aktu prawnego,legislative act,
aktualizacja obecnych,updating of current,
aktualizować krajowe,update national,
aktualne informacje,up-to-date information,
aktualnej informacji,timely information,
aktualnej produkcji,actual production,
aktualnych informacji,up-to-date information,
aktywną rolę,an active,
aktywne partnerstwo,active partnership,
aktywne uczenie,active learning,
aktywne uczestnictwo,active participation,
aktywne zaangażowanie,active involvement,
aktywnego poparcia,active support,
aktywnego uczestnictwa,active participation,
aktywnego wsparcia,active support,
aktywnego zaangażowania,active involvement,
aktywnej polityki,active employment policy,
aktywnej roli,active role,
aktywnie rozwijać,develop actively,
aktywnie zaangażowane,actively involved,
aktywny udział,active part,
aktywnym udziale,active participation,
al jest,al is,
ale ani,but neither,
ale było,but this was,
ale ciągle,but still,
ale ich,but their,
ale jest,but is,
ale konkurencja,but the competition,
ale nie,but not,
ale obecnie,but do currently,
ale ponieważ,but as,
ale przed,but before,
ale przede,but mostly,
ale również,but also,
ale środki,but with meagre resources,
ale także,but also,
ale wciąż,but still,
alokacja finansowa,financial allocation,
alokacji kapitału,capital allocation,
alternatywą nie,alternative of no,
alternatywne będą,alternative fuels will,
alternatywne wobec,alternative methods to,
alternatywnych do,alternative methods to,
alternatywnych środków,alternative means,
alternatywy dla,alternative to,
ambitna polityka,ambitious policy,
ambitną strategię,ambitious strategy,
ambitne ramy,ambitious framework,
ambitnej polityki,ambitious eu policy,
ambitny program,ambitious programme,
ambitnych ram,ambitious framework,
analiz ekonometrycznych,econometric modelling and analysis,
analiza gleby,soil analysis,
analiza postępów,analysis of progress,
analiza powinna,analysis should,
analizę kosztów,of the costs,
analizuje postępy,evaluate progress,
analizy analizę,analysis analysis,
analizy danych,data analysis,
analizy kosztów,cost benefit analysis,
analizy ozonu,analysis of ozone,
analizy powinny,analysis should,
analizy przepływu,flow analysis,
analizy ryzyka,risk analysis,
analogicznych obowiązków,analogous obligations,
analogię do,analogy with,
ani celem,object nor,
ani do,author or by,
ani innej,political or other,
ani jego,nor his,
ani krajowych,community or national,
ani kwestionować,courts or question,
ani nie,accepted or not,
ani o,at national or local,
ani ograniczać,nor restrict,
ani on,he nor,
ani przedmiotem,object nor,
ani zakazywać,neither prohibit,
