aby nie marnować czasu,to waste no time,
aby pomyślnie zakończyć negocjacje,to conclude negotiations successfully,
aby skierował ją do,to address it to,
aby stworzyć rozległą sieć,creating a wide network,
aby transport lotniczy stał,air transport to become,
aby wspólnota oraz jej,for the community and its,
adaptacja będzie ciągłym procesem,adaptation will be an ongoing process,
adaptację do zmian klimatu,adaptation to climate change,
adaptacji do tych niekorzystnych,adaptation to those adverse,
adaptacyjna będzie musiała mieć,adaptation strategy will need to have,
administracji publicznej oraz bezstronności,public administration and the impartiality,
administracyjne lub inne ograniczenie,administrative or other restriction,
administracyjne oraz finansowe bezpośrednio,administrative and financial matters directly,
administracyjnej oraz wzajemnej pomocy,cooperation and mutual administrative assistance,
aeronautyka i transport lotniczy,aeronautics and air transport,
aktywne w debacie nad,active in the debate on,
aktywnego i pasywnego ogrzewania,active and passive heating,
aktywnego wsparcia i współpracy,active support and cooperation,
al jest jedynym przewoźnikiem,al is the only israeli carrier,
ale było to zbyt,but this was too,
ale ich główne działania,but their main activities,
ale obecnie nie posiadają,but do currently not have,
ale pilnie potrzebne jest,but differentiated responsibilities is urgently required,
ale ponieważ jest szybko,but as it is quickly,
ale także dla każdej,but also for any,
ale także krzewienia dialogu,but also in promoting dialogue,
ale w żadnym przypadku,in any case no,
alokacja finansowa dla programu,financial allocation for the programme,
alokacji i kontroli muszą,allocation and control procedures are needed,
analizy ozonu i kalibracja,analysis of ozone and calibration,
antropogenicznych zmian klimatu muszą,anthropogenic climate change must,
argument ten jest nie,that argument can not be,
artykułu w taki sposób,article in such a way,
atrakcyjności i jakości vet,attractiveness and quality of vet,
atrakcyjność i jakość vet,attractiveness and quality of vet,
badania i demonstracja są,research and demonstration are,
badania i rozwój technologiczny,research and technological development,
badania i rozwój technologii,research and technology development,
badania i systematyczne obserwacje,research and systematic observation,
badania konieczne do sformułowania,research needed to underpin the formulation,
badania takie są niezbędne,such research is essential,
badanie i stały monitoring,study and constant monitoring,
badany będzie również wpływ,will also investigate the impact,
badań i rozwoju technologicznego,research and technological development,
badań naukowych i koordynacji,scientific research and the coordination,
badań naukowych i technicznych,scientific and technical research,
badań stosowanych i innowacji,applied research and innovation,
badań strategicznych i mogą,strategic research agendas and can,
badań w sektorze transportu,research cooperation in the transport sector,
badań w tym obszarze,research in this area,
badawczego i centralnego ośrodka,research centre and the central,
badawczych i dostępu do,research networking and access to,
bank odbudowy i rozwoju,bank for reconstruction and development,
bankiem odbudowy i rozwoju,bank for reconstruction and development,
bardziej bezpośredni i konkretny,more immediate and concrete,
bardziej bolesną i kosztowną,more painful and expensive,
bardziej intensywnych i owocnych,more intense and fruitful,
bardziej skuteczna i odpowiedzialna,effective and more accountable,
bardziej spójnego i skutecznego,more coherent and effective,
bardziej systematyczne podejście do,more systematic approach to,
bardziej szczegółowa ocena oddziaływania,more detailed impact assessment,
bardzo przekonywujący argument za,very convincing argument for,
bardzo ścisłym partnerstwie między,very close partnership between,
bardzo wysoki priorytet powinno,should have a very high priority,
basenu morskiego wspólnego dla,sea basin common to,
bazą dla rozwoju współpracy,basis for the development of cooperation,
benefit from increasing co,to potentially benefit from increasing,
bez jego uprzedniej zgody,without its prior agreement,
bez poprawek i debaty,without amendment and debate,
bez uprzedniej zgody komisji,without prior acceptance by the commission,
bez uszczerbku dla dyrektywy,without prejudice to council directive,
bez uszczerbku dla ich,without prejudice to their,
bez uszczerbku dla innych,without prejudice to other,
bez uszczerbku dla możliwości,without prejudice to the ability,
bez uszczerbku dla prawodawstwa,without prejudice to the community legislation,
bez uszczerbku dla przepisów,without prejudice to article,
bez uszczerbku dla uprawnień,without prejudice to the powers,
bez zagrożenia dla wody,without risk to water,
bez zagrożenia zdrowia ludzi,without endangering human health,
bez żadnych problemów mieszanki,blend without any problem,
bezpieczeństwa dostaw energii dla,security of supply of energy for,
bezpieczeństwa dostaw i zmian,security of supply and climate change,
bezpieczeństwa energetycznego i integracji,energy security and market integration,
bezpieczeństwa i obrony decyzja,security and defence policy decision,
bezpieczeństwa i obrony porozumienie,security and defence policy interinstitutional agreement,
bezpieczeństwa i ochrony lotnictwa,aviation safety and security,
bezpieczeństwa i wspólnego dobrobytu,security and shared prosperity,
bezpieczeństwa międzynarodowego łańcucha dostaw,security of the international supply chain,
bezpieczeństwa oraz innych specjalnych,security policy and by other special,
bezpieczeństwa publicznego lub narodowego,public or national security,
bezpieczeństwa wewnątrz wspólnego obszaru,security within the common area,
bezpieczeństwem granic i zapobieganiem,border security and prevention,
bezpieczeństwem na poziomie wspólnoty,security research at community level,
bezpośredni dostęp w formie,direct access in electronic form,
bezpośredni i konkretny sposób,immediate and concrete way,
bezpośredni udział w pracach,direct participation in work,
bezpośredni w formie elektronicznej,direct access in electronic form,
bezpośrednie odniesienie do kodeksu,direct reference to the eu code,
bezpośrednie spalanie z innymi,direct incineration with or without other,
bezpośrednim kontakcie z glebą,direct contact with the soil,
bezpośrednio koniecznymi do wdrożenia,directly necessary for the implementation,
bezpośrednio w formie elektronicznej,directly in electronic form,
będą głównie na finansowaniu,will focus principally on funding,
będą konieczne do ograniczenia,will be needed to limit,
będą korzystać z projektów,will benefit from project,
będą musiały być gotowe,will need to be ready,
będą obejmowały wspólną analizę,will cover joint analysis,
będą próbę solidarności między,will test the solidarity between,
będą walczyć o prawo,will battle for the right,
będą ważne dla powodzenia,will be important to the success,
będąca regionalną organizacją integracji,is a regional economic integration organization,
będzie kontynuować obecną praktykę,will continue with the current practice,
będzie miało bardziej poważne,will have more serious,
będzie musiała mieć silny,will need to have a robust,
będzie musiało być głęboko,will need to be deeply,
będzie nawet w jeszcze,will focus even more closely on,
będzie również prowadziło do,will also lead to,
będzie szczególna odpowiedzialność za,will have a special responsibility for,
będzie śledziła ich wprowadzanie,will follow up their implementation,
będzie to miało pozytywny,this will have a positive,
będzie to prawdziwe wyzwanie,this will be a real challenge,
będzie tworzyć integralną część,will form an integral part,
będzie wymagało formalnego zobowiązania,will require a formal commitment,
będzie zachęcała do współpracy,will encourage cooperation with,
biorą udział w debacie,take part in a debate,
biura prasowego oraz pełnego,press office and for full,
bolesną i kosztowną adaptację,painful and expensive adaptation,
brać udział w debacie,take part in a debate,
braku działania na poziomie,lack of action at world level,
braku odpowiedniej podstawy prawnej,lacked an appropriate legal basis,
braku sprzyjającego klimatu inwestycyjnego,absence of a favourable investment climate,
budżetowa podejmują w kolejnych,budget shall take decisions in successive,
budżetową wspólnoty na operacje,community budgetary guarantee for operations,
budżetowej na koszty administracyjne,budget heading for administrative costs,
budżetowych na następny rok,budget guidelines for the following year,
budżetowych oraz do swoich,budgetary processes and into,
budżetu i kontroli budżetowej,budget and budgetary control,
budżetu po pierwszym czytaniu,budget after the first reading,
budżetu wspólnoty poprzez pośrednie,community budget through centralised indirect,
by decyzja w jego,decision on its nap to take,
by parlament wziął udział,parliament to take part,
być dostosowany do postępu,be adapted to technical progress,
być gotowe do pomocy,be ready to help,
być konieczne dla realizacji,are deemed necessary for the implementation,
być kontynuowany w ramach,be continued within the framework,
być mierzony i oceniany,be measured and evaluated,
być odpowiedzialne za środki,be responsible for implementing,
być otwarta dla wszystkich,be open to all,
być otwarte dla udziału,be open to the participation,
być otwarty dla wszystkich,be open to all,
być reprezentowany przez członka,be represented by a member,
być reprezentowany przez innego,be represented by another,
być szkodliwe dla zdrowia,be harmful to human health,
być także otwarty dla,also be open to,
być troska o bezpieczeństwo,be the concern for the security,
być używane w sektorze,be used in the automotive sector,
być w pełni zaangażowane,be fully involved in,
być w tym celu,be used for this purpose,
być wspierany przez wspólny,be assisted by a joint,
być wykorzystywany w rolnictwie,be used in agriculture,
być wymagany wkład finansowy,financial contribution may be required,
być zgodne oraz przyczyniać,be compatible with and contribute,
byli skutecznie chronieni przed,be effectively protected against,
była szybka i wydajna,be quick and efficient,
byłaby stosunkowo łatwa do,be relatively easy to,
byłaby żadnym bodźcem do,be no incentive for,
było to zbyt wcześnie,this was too early,
byłoby to przydatne zarówno,this would be useful both,
całego świata powinni być,entire world should be,
całkowicie wolne od opłat,fully free of charge,
całkowita ilość i przeciętny,total amount and average,
całkowitego siarczanu na tonę,total sulphate per tonne,
całkowitej lub częściowej odmowy,total or partial refusal,
całości z kryształu ołowiowego,entirely made of lead crystal,
cały enpi są niewystarczające,whole enpi is insufficient,
cel celem niniejszego rozporządzenia,purpose the purpose of this regulation,
cel celem niniejszej dyrektywy,objective the aim of this directive,
cel celem podstawowym niniejszej,objective the ultimate objective of this,
cel strategiczny na kolejną,strategic goal for the next,
celem jest zmiana struktury,aim is to change the structure,
celem mechanizmu czystego rozwoju,purpose of the clean development mechanism,
celem niniejszego rozporządzenia jest,purpose of this regulation is,
celem niniejszej decyzji jest,purpose of this decision is,
celem niniejszej dyrektywy jest,of this directive is,
celem niniejszej opinii jest,purpose of this opinion is,
celem podstawowym niniejszej konwencji,ultimate objective of this convention,
celne na szczeblu krajowym,customs practices at national level,
celnej ma na celu,customs policy group has aimed at,
celu informacje powinny być,end information should be,
celu komisja będzie popierać,end the commission will promote,
celu podwojenie całkowitego udziału,aiming at doubling the overall share,
celu zapobieganie i kontrolowanie,aimed at the prevention and control,
cen energii dla naszych,energy costs for our,
centrum badawczego i centralnego,research centre and the central,
centrum zapobiegania i kontroli,centre of disease prevention and control,
ceny oraz metodologii przydziału,price and allocation methodology,
charakter i treść informacji,nature and content of the information,
charakteru oraz zawartości pcb,nature and pcb content,
charakterze i z różnych,of different nature and origin,
chce on brać udział,he wish to take part,
chemicznego i ilościowego stanu,chemical and quantitative water status,
chemikalia lub jakiekolwiek inne,chemicals or any other,
chlor uwalniany na różnych,chlorine released in the various,
chronić pewien standard życia,safeguard a certain standard of living,
ciągłe są wyłącznym źródłem,continuous measurement is the sole source,
ciągły wzrost na poziomie,continued growth at a global level,
ciepłej wody w projektowaniu,hot tap water in the design,
ciężkich i innych niebezpiecznych,heavy metals and other dangerous,
ciężkie mogą być toksyczne,heavy metals may be toxic,
clil jest na wczesnym,clil is still in its early,
