aby nie marnować czasu,to waste no time,
aeronautyka i transport lotniczy,aeronautics and air transport,
alokacji i kontroli muszą,allocation and control procedures are needed,
badany będzie również wpływ,will also investigate the impact,
bardziej intensywnych i owocnych,more intense and fruitful,
bez uszczerbku dla dyrektywy,without prejudice to council directive,
bezpieczeństwa i obrony porozumienie,security and defence policy interinstitutional agreement,
bezpośrednie spalanie z innymi,direct incineration with or without other,
będzie miało bardziej poważne,will have more serious,
bolesną i kosztowną adaptację,painful and expensive adaptation,
by parlament wziął udział,parliament to take part,
być troska o bezpieczeństwo,be the concern for the security,
całego świata powinni być,entire world should be,
celem niniejszej decyzji jest,purpose of this decision is,
charakter i treść informacji,nature and content of the information,
co do poufnego charakteru,as to the confidential nature,
członek komisji nie może,committee member may not,
czystej formie lub jako,pure form or as,
demograficzne oraz innowacje techniczne,demographic change and technological innovation,
dialogu politycznego między unią,political dialogue between the european union,
dla każdej szerokiej kategorii,for each broad category,
dla rozrodczości i te,for reproduction substances and those,
dla weryfikacji i sprawozdawczości,for verification and reporting,
do celów niniejszej dyrektywy,for the purpose of this directive,
do jakości naturalnego gazu,to natural gas quality,
do końcowego projektu porządku,final draft agenda for vote,
do osiągnięcia tego celu,to the achievement of that objective,
do redukcji zawartości siarki,reduction in the sulphur content,
do udziału w przygotowaniach,to take part in the preparation,
do wydania pozytywnej opinii,for the positive opinion issued,
dobrą podstawę do wymiany,good basis for the exchange,
dokumentacja i przegląd wyboru,documentation and review of site selection,
dostęp bezpośredni w formie,access in electronic form,
dostępu do zasobów genetycznych,access to genetic resources,
drugiej stronie wspólnej granicy,other side of the shared border,
dwutlenku węgla i rozwój,carbon dioxide emissions and this expansion,
działają wspólnie jako stali,act jointly as permanent,
działanie sił rynkowych nie,operation of market forces and it,
edukacja i kapitał ludzki,education and human capital,
elektronicznego środowiska celnego poprzez,electronic customs environment through,
energetycznego w transporcie powietrznym,energy tax for air transport,
energii poprzez bezpośrednie spalanie,energy through direct incineration,
eu ets w pierwszym,eu ets for the first,
finansowanie pożyczki lub gwarancja,loan financing or guarantee,
funduszu spójności i innych,cohesion fund and the other,
gazów cieplarnianych są obecnie,greenhouse gas concentrations are higher now,
gleby do analizy powinny,soil samples for analysis should,
głosowania nad rezolucją legislacyjną,voting on the draft legislative resolution,
główne działania są często,main activities are often,
gospodarczej i współpracy politycznej,economic integration and political cooperation,
handel i integrację gospodarczą,trade and economic integration,
ich przejście do demokracji,their transition to democracy,
identyfikacji może też wykorzystywać,identification system may also use,
informacji w dowolnym czasie,communication at any time,
innowacji i mogą dostarczać,innovation and can provide,
instytucję i jest łatwo,institution concerned and is easily,
interesu społecznego i gospodarczego,economic and social interest groups,
jak modelowanie jakości powietrza,as air quality modelling,
jako części ogólnej ceny,as part of the total,
jakościowe dla ich rozwoju,qualitative importance for their development,
jednostka terytorialna na poziomie,territorial units corresponding to nuts level,
jej roli jako partnera,its role as a partner,
jest niezbędnym warunkiem dla,is a necessary condition for,
jest otwarty dla wszelkich,be open to all,
jest ważnym i atrakcyjnym,is an important and attractive,
jeżeli komisja nie zgadza,if the commission does not agree,
języków regionalnych i mniejszościowych,regional and minority language stakeholders,
każda regionalna integracja gospodarcza,any regional economic integration,
każdy organ lub agencja,any body or agency,
kluczowym obszarem bliskiej współpracy,key area of closer co-operation,
komisja może otrzymywać fundusze,commission may receive and manage funds,
komisję wspiera podkomisja do,committee is assisted by a subcommittee,
komitetowi euromed mandatu do,mandate to the euromed committee to,
konieczne działania i realizację,necessary action and implementation,
konsumentów bardzo przekonywujący argument,very convincing argument for consumers to,
konwencji i zapewniać ich,convention and ensure their,
koperta finansowa dla realizacji,financial envelope for the implementation,
kraje rozwinięte i inne,country parties and other,
które muszą być prawidłowo,which must be managed correctly,
które są wspólne dla,which are common to,
który zapobiegałby niebezpiecznej antropogenicznej,that would prevent dangerous anthropogenic,
ku nowej definicji wzrostu,towards a new definition of growth,
lecz oznacza ostatnie głosowanie,but means the last vote,
lokalne i regionalne będą,local and regional needs will,
lotniczego i morskiego bunkra,aviation and marine bunker,
łącznie z alternatywą nie,including the alternative of no,
mają one rzeczywisty potencjał,they still have a real potential,
metanol produkowany z biomasy,methanol produced from biomass,
międzynarodowa agencja energii atomowej,international atomic energy agency,
misji eu bam rafah,mission eu bam rafah,
mogą w zasadzie być,may in principle be,
może być reprezentowany przez,may be represented by,
może też wykorzystywać skróty,may also use the abbreviation,
muszą być bardzo starannie,need to be very carefully,
na forum podobnym do,in a forum similar to,
na monitorowanie długoterminowego rozwoju,to monitoring the long-term development,
na polu współpracy regionalnej,in the field of regional cooperation,
na przykład poprzez zastosowanie,for example by using,
na szczeblu międzynarodowym jest,is increasingly needed at international level,
na wdrażanie niniejszego rozporządzenia,for implementation of this regulation,
nabycie jednostek redukcji emisji,acquisition of emission reduction units,
naszym zadaniem jest zatem,our task therefore is,
nauki języka dla wszystkich,language learning for all,
nie będzie zobowiązany do,will not be obliged to,
nie może być stosowana,may not be applied,
nie są dostępne bezpośrednio,are not directly accessible,
niedoboru wody i susz,water scarcity and drought,
niezbędne do wykonania niniejszej,necessary for the implementation of this,
niniejsza opinia powinna zatem,this own-initiative opinion should therefore,
niniejszego rozporządzenia powinny być,this regulation should be,
niniejszej dyrektywy jest ograniczenie,this directive is to limit,
niż rok przed początkiem,year prior to the start,
o adaptacji do zmian,about adaptation to climate change,
o wysokiej intensywności pracy,with a high labour intensity,
obiektywnego i spójnego podejścia,objective and coherent eu approach,
ocenę wpływu i efektywności,assessment of impact and effectiveness,
ochrony środowiska i poprawy,protection of the environment and improvement,
od odpowiedniego zaangażowania wszystkich,appropriate involvement of all,
odbywały w takich innych,held at such other,
odpowiednie planowanie swoich własnych,appropriate planning of their own,
ogólne niniejszego wspólnego działania,overall objectives of this joint action,
ograniczony potencjał narodowy do,limited national potential for,
one służyć jako instrument,they serve as an instrument,
organ publiczny albo prywatny,public or private authority or body,
ostatecznej eliminacji tych zanieczyszczeń,eventual elimination of this pollution,
otwartej i przejrzystej współpracy,open and transparent cooperation,
paliw kopalnych w unii,fossil fuel in the european union,
parlament i radę są,parliament and the council shall,
partii komunistycznej i wyborem,communist party and the election,
pełni zaangażowane w prace,fully involved in the work,
pierwszego okresu zobowiązań mogą,first commitment period can,
planowania regionalnego jako instrumentu,regional planning as an instrument,
pochodzić z sektora prywatnego,come from the private sector,
pod głosowanie w kolejności,to the vote in the order,
podkreślał potrzebę przywództwa politycznego,underlined the need for political leadership,
pojazdów i jakości powietrza,vehicle emissions and air quality,
polityka lotnicza pozostaje ostrożna,aviation policy has remained careful,
polityki rozwoju i współpracy,development and cooperation policy of,
pomiędzy programem i sektorem,between the programme and the sector,
pomocy technicznej oraz operacji,technical assistance and risk capital operations,
poprawek do wspólnego stanowiska,amendment to the common position,
poprzez swe szerokie zaangażowanie,through its broad commitment,
postępu technicznego i wyników,technical progress and to the results,
potencjał narodowy do produkcji,national potential for production,
powierzchni ziemi i atmosfery,earth's surface and atmosphere,
powinny być w pełni,should be fully documented at,
pozostają ważną bazą dla,remain an important basis for,
prasie krajowej i lokalnej,national and local press has,
precyzyjnej i jednolitej definicji,precise and uniform definition,
produkcji i spożycia poprzez,production and consumption patterns by,
programie może być także,programme may also be,
projektowania i produkcji nowych,design and production of new,
protokołu mogą uczestniczyć jako,protocol may participate as,
