absorpcji atomowej,atomic absorption,
adaptacyjna będzie,adaptation strategy will,
ale przed,but before,
audyt finansowy,financial control and audit,
banku inwestycyjnego,investment bank,
bardzo przekonywujący,very convincing,
bezpieczeństwem granic,border security,
będą skutecznie,will effectively,
bierze udział,taken part,
budżetem parlamentu,parliament's budget,
być istotne,be relevant,
być zbudowany,is proposed to build,
całkowicie wolne,fully free,
celem wspólnoty,community has the objective,
certilingua jest,certilingua is,
co jednak,but that,
części tekstu,part of a text,
czym istnieje,is essential to,
debaty nadzwyczajnej,extraordinary debate,
demokracji parlamentarnej,parliamentary democracy,
dla gmes,to gmes,
dla podobnych,for similar,
dla urzędników,official for,
dniem wejścia,date of entry,
do głosowania,to vote,
do międzynarodowego,to international,
do pierwszeństwa,in priority,
do redukcji,a reduction,
do średniego,to the average,
do wspierania,advancement of knowledge in,
dobrą podstawę,good basis,
dokumentów stron,parts of the document,
dostęp publiczny,public access,
drogowego do,in the road,
dwustronnych do,to bilateral,
działalności przedstawiciela,activity of a representative,
działań dla,action programme for,
efektywną pod,at highly efficient,
emisji dla,emission ceilings for,
etapie pilotażu,pilot stage,
finansowanie to,this funding,
funduszami strukturalnymi,structural funds,
gdzie stosowne,where appropriate,
głosowanie odrębne,separate vote,
gospodarczej działając,economic integration organization acting,
gwarancjami budżetowymi,budgetary guarantee,
ich mandatu,mandate in,
ich własną,their own,
informacja o,information on,
infrastruktury telekomunikacji,telecommunication infrastructure,
innowacyjne procesy,innovative governance processes,
instrument sąsiedztwa,neighbourhood policy instrument,
interesem ogólnym,general interest,
jak innowacyjność,as innovation,
jakie praktyczne,what practical,
jako odliczenie,as a deduction,
jakość vet,quality of vet,
jednolitą federację,unitary federation,
jego posiadaniu,its possession,
jej rozdziale,its regional distribution,
jest konieczny,is no need,
jest prawdopodobnie,is probably,
jest zapobieganie,is the prevention,
jeżeli po,if after,
języku państwa,language of the country,
każdego materiału,each packaging material,
kiedy jest,when this is,
kodeks postępowania,code of conduct,
komisja proponuje,commission shall propose,
komisję wspiera,committee is assisted,
komitet może,committee can,
konieczne dla,necessary for,
konsumentom podstawowe,consumers more basic,
konwencję po,convention after,
korzyści ograniczenia,benefit analysis of limiting,
krajowych planów,national level,
które mają,which have,
której mogą,which member states may,
których zmiana,whom land-use change,
kwot finansowania,amount of financing,
lokalnymi społeczeństwami,local civil society,
łańcucha żywnościowego,food chain,
maksymalną ilość,maximum amount,
mechanizmu czystego,clean development mechanism,
miejscu przez,spot audits by,
między wzrostem,rising volumes of,
mimo kontrowersji,despite the controversy,
mogą stać,may become,
może również,may also,
much as,as much,
na dialogu,dialogue in,
na każdego,for all,
na niektóre,to some,
na poziomie,at national level,
na spójność,cohesion in,
na uczenie,for lifelong learning,
na zdolność,to the carrying capacity,
nagranie wizualne,visual or audiovisual recording,
naturalnych będzie,natural resources will,
negocjacjach międzynarodowych,international negotiations,
nie ograniczała,not restrict,
niedawnego raportu,recent report,
niezbędne dla,necessary for,
niniejszego załącznika,this annex,
nowa nie,new one shall not,
nowych umów,new agreement,
o nim,for that,
o te,by it,
obecne ramy,current legal framework,
obowiązków komisji,responsibility of the commission,
ocena obiektywna,objective estimation,
ochroną gleby,soil protection,
od konsumenta,from the consumer,
od tych,this smaller group of,
odpowiednich elementach,appropriate elements,
odzysk energii,recycling but excluding energy,
ograniczać prawa,copyright which may limit,
okresu bazowego,base year or period,
ona przede,it is becoming primarily,
opinia powinna,opinion should,
organizację parlamentu,organisation of parliament,
ostatnich wyników,recent findings,
otwarty rynek,market opening,
paliwa wodorowe,hydrogen and fuel,
parlamentu może,may convene parliament,
perspektywa finansowa,financial perspective,
pierwszej umowy,first framework agreement,
planowania przyszłych,planning a future,
po starannym,after careful,
podczas którego,during which,
podnoszenie świadomości,awareness raising,
podstawowych materiałów,basic materials,
politycznej jest,political groups shall,
polityki transportowej,transport policy,
pomocniczego organu,subsidiary body,
poprawkę do,amendment to,
poprzez taiex,through taiex,
posiedzeniach rozdział,sitting chapter,
poświęcenia tym,commitment to,
poważne techniczne,serious technical,
powinno odzwierciedlać,should reflect,
poza salą,outside the chamber,
pozytywnej opinii,positive opinion,
prawdopodobnie od,possibly by,
priorytetowych zdolności,priority capacity,
procesu integracji,integration process,
program prac,work programme,
programu uczenia,learning programme,
promowania różnorodności,promotion of the diversity,
prowadzący do,leading to,
przed zanieczyszczeniem,from photochemical pollution,
przejmuje czynności,appropriate measures,
przepisy końcowe,final provisions article,
przez bank,by the world bank,
przez okres,for a period,
przez who,by the who,
przygotowanie wspólnych,preparation of joint,
przyjętymi przez,accepted by,
przyszłe programy,future programmes the programme,
punktu informacyjnego,centre for information,
ram instytucjonalnych,institutional framework,
realistyczny postęp,realistic progress,
regionalną organizacją,state of that regional,
rejestr ten,this register,
roczne krajowe,annual national,
rozbudowie transportu,growth in transport,
rozwijać odpowiednie,developing adequate,
rozwój sektora,development of the sector,
równości między,equality between,
rynku ze,market opening with,
samochodów bez,car use without,
są oni,they shall,
sąsiedztwa powinny,neighbourhood countries should,
selektywnie poszerzać,selectively widen,
skarżący jest,charge is,
skutków dla,to this effect,
społeczeństwo informacyjne,information society,
spójności powinny,cohesion policy should,
sprawozdaniu po,report on,
stanowiska jest,position shall,
stosowany proces,process is used,
strategicznego partnerstwa,strategic partnership,
stronę niniejszego,party to this,
swobodnego przemieszczania,free movement,
swój podpis,his signature,
systemu głosowania,voting system,
szczególne działania,particular professional activity,
szkolenia nauczycieli,teacher training,
środkami oceny,means of supplementary assessment,
świata do,world to,
takie jak,well as,
te cele,scope of this,
tego organu,this body,
temu zjawisku,this phenomenon,
to jasno,this clearly,
transfer technologii,transfer of technology,
treść sprawozdania,content of the report,
tych organizacji,stated that,
tym krajowe,that the national,
tymczasowy problem,temporary problem,
układy zbiorowe,general agreement,
uprawniał wnioskodawcę,entitle the applicant,
ustnie parlament,parliament informed orally,
użycie jest,use is,
w części,in section,
w houston,on the houston,
w których,at which,
w odpowiednim,appropriate in,
w prace,in the work,
w rocznym,in the annual,
w system,system into,
w wiedzy,knowledge on,
wartości programu,value of a programme,
ważnych wielostronnych,important multilateral,
według strony,party believes contribute to,
wielofunkcyjne rolnictwo,multifunctional agriculture,
własne koszty,own infrastructure costs,
wniosek taki,so request,
wpływu transportu,transport taking,
wspólną fundację,joint foundation,
wspólnocie jako,community as,
wspólnym stanowisku,common position,
wszelkich dokumentów,any other document,
wszystkich wysiłków,effort in all,
wygodny transport,convenient public transport,
wymagało ustanowienia,require the establishment,
wyniku zmian,of climate change,
wystarczający poziom,sufficient level,
wzrostem gospodarczym,economic growth,
z decyzją,of this decision,
z innymi,with other,
z łącznej,total amount,
z odpowiednią,right of,
z posiedzeń,meeting of,
z punktów,for an item,
z trzech,for three,
z wykształceniem,education and training,
za niedopuszczalne,inadmissible by,
za wykonanie,for the implementation,
zainteresowanie kupnem,interest in buying,
załącznika iia,annex iia,
zaproszenie od,invitation by,
zarządzaniem wspólnymi,management of shared,
zasoby oznaczają,resources means,
zawiera ono,it shall also include,
zdrowe środowisko,healthy environment,
zeznań przed,evidence before,
zmianę swoich,its turn,
znaczeniu jest,importance shall,
zróżnicowania warunków,diversity of conditions,
żadnym bodźcem,no incentive,
że lotnictwo,that the aviation,
że rezultatem,that this will result,
żywności dla,food safety for,
